Images,Number,Task,Choices,Year,Level
"[""R0lGODlhoQClAHcAMSH+GlNvZnR3YXJlOiBNaWNyb3NvZnQgT2ZmaWNlACH5BAEAAAAALAQAAQCZAJwAgwAAAAAAAAcGBgkICAgHBwkHCAsJCgMDAwoICQcGBwsKCgwKCwYFBQUEBAECAwECAwT/EEgZpr046827/2AojhRpnmiqrlfFvnAsh0E933i+1q7u/0AML0gs5obGpFKFXDqfHp4NSq1OpD2rdokV8gSSgXRLZnUxhFphYjggyvDUGZOoGSQJRXxPwk4vCwcBBwAEb3yIIH5ZFgg1AgSJklF+Gwx2k5kcfxsGNQ2aoV4eCQI1A6KpAJwZA6gNNXqqmqwXCJEAngFgs5m1EgtiFgU1CQu9kr+6pwBiY8iIv9DQ0tO91daq2Nmi29y0jN+z3uLJ4eXd5+jg69fq7ebw2u/yfOT1ZPf4Wvr7Vf3+oAAM6GQgQSUGDxpJqJAIw4ZAHkL0IXHiEXoWC2LMiHAjx4Ue/z86DCkyIsmSFE/uWcSypcuXMBcpUlkmps2bOFnOdEezRJyKGnv6hAOUi9ChNY8KVLpqJVOjTJ9eTCfVaagmcqz6Klr1RlGTXbvO+PqDrFgZZHWkPRsjLQ6s8NyOlavVKdumP+/CgLu3blK9eIkC3jF4MBPDKOhe8ctPcSLHJ+CyRZyYsgi+kxkvtWzZBOTLnxfnbVykcx/Tm+ihXvoP2+onoTvwbTFWM8jXr3cG5WI7yGzfvU3S8Bd71PB9xS381pB59O0RzQU/h17bue/km4LPzZ2BO6WRiYlzVuo9SejlH6InLYs9vXYz7d1b9xpfvvS3XMXjD6ufftvq96F1lv96+Uy2FoDrtVUfdfMRdheBW3yFXlbIVTWEW+WB9IJjGZYm1R8YIligg1d0GMV7lGSx4GUopsZIiBVWFg6M+CQ04X8xeqYOjX01qFt3EO7QYgvVrHhcgDOpFiQTQ1KwDY/y6HPjW/2lmN6S6NyjJZbh+QgkDSbKhuKUTibzHpllolUlkB2GKRxzA0EZ144GySmkl6sIZSeTXjJkpCKaoWkcjoQmWKKbSEWpokR7ZtmDoHCKOKeTHxqopnNcWVroVNBVIKGmPab0TIp/OqrTBjmlquqqrLbqqkxEvirrrLTWmhNKoraE63WlApDADb/CEKw/jsxQ7AvHFjGsEo6c1Syustglu0EaAeAi7Bwq1DHqCdpCisKzHFxigCcMCPgoo1N4e+i6OHQrDbg1HLIhJ+i6sC1o9qZJHz3aOrksiSUe5qm+nb4IGHqw2DuIgosKrJye9BbmWrpmReywaDouevDECoslSAAGBCvRxyEHZgLJwyqG3sdOEgKDAbAIIItEMO+iAFM1yxwwDihr0G+e/87F8IeJypCzLBjAG4C8+1p4r4xUiEvurktQay3VREQAADs=""]",1,"На рисунке представлен график зависимости координаты тела, движущегося вдоль оси OX, от времени. Сравните скорости v 1 , v 2 и v 3 тела в моменты времени t 1 , t 2 , t 3 .","['v1  > v2  = v3', 'v1  > v2  > v3', 'v1  < v2  < v3', 'v1  = v2  > v3']",2002,A
"[""R0lGODlhLgFNAHcAMSH+GlNvZnR3YXJlOiBNaWNyb3NvZnQgT2ZmaWNlACH5BAEAAAAALAEAAQAtAUUAgwAAAAAAAAcGBgkICAwKCwYFBQsJCgMDAwsKCgkHCAoICQUEBAgHBwcGBwECAwECAwT/EMhJq704662D52Aojl4wnmiqrqxUtnAslrQp31f94Xzvk7qObkgsGo/IJPG3Ujqf0Kh0SoVWqtjslBnSer/gMNi145qRZtQxHQuye2vK6/0b0lv2u2pH07fdOWV+MnODfzaGM4gAhYknjRmQjpOUlSCCZIuWh5udnp2YmZqfaqGkp6hcpqKpj6utQrATo62vrLIbkriRtpa6qb2Zn7RCxLuBwZTGp8mMv4PNs9HDSbXHzkDTdYyuy8BOwNfazuM4Jt4Wz7VK1sfl5IY26Ffvlezh7vMYfXeI+tL/dqnbFNBewXQDbywqmFBcPT0HJz0EGLFbDUUVKwngN6ChPYcK/yc+6naNAoECAQpQMHAAgSyPvjIik0mCZMkJBgIcoJBAwU1cIhEGzeXqJ4UFAXxKUGkU1lChNHk8TaQgwAIJCBg0dRq1WNc/WyUcCGAAAAOlYZl95TW1yVpHHQUA2JkWVdt9MOu8dTQ2QYO6dvd6TVTv7oqOSQGr7ccPYsbGk8YSUEzKcK68hGRCTsSAKWVPljlsPoPuyefTg3k5Gq1XtGnUsGdJU72atVTNtmNTXkhbIuZSbkPrxheI4G9FbocrTxeLTu7cLIQv/7xMupzZeI83n859z+V4l6dqG4B0QNUE3XWXFnypi3Y5F0EUKFC2AdKy6VHPs848G27oExRAF/8AObGX30fX0QOgOdrEV8qCDZCFUwByHUidg/AteNuD5WB4QU4VStDRABbmB4hze/y2IAOJTXBfiel5+MZ/AS04FgVVDQgjdxpKBUN83ixYBgIo/bVjdz3++B5U6iyIlE8KKJBAUgNodeRySaoFXUIIINWAS1MKgN+Vyi1p3HP8kbmVmQbloaCacApV1xL0xGknfIq5KduddxqozGZ+8rmmeoIEKqhRhsZ06KKMNuroo5BGKumklFa65okcZjknpk1YikeCne4ZI6jReVoqqWocqQlN55jq3XVzFKJLoi8pKE8Zz7TqaqoJ8uaCqMBauCo3ovqzz6+71lQsdr5mmGZaZb0yiyqyxCbrXiPyEBvktFg2lm22RAVrbSTHgrstt8PRoiu4bGnqKjG4UnssuuoVh+y59I4rrrzGysvvgeqC2u++tJLpYay48iEKmzdhiLA/CpOzEMP6lhQBADs=""]",2,"На рис. А показаны направления скорости и ускорения тела в данный момент времени. Какая из стрелок (1-4) на рис. Б соответствует направлению результирующей всех сил, действующих на тело.","['1', '2', '3', '4']",2002,A
[],3,"На рычаг действуют две силы, плечи которых равны 0,1 м и 0,3 м. Сила, действующая на короткое плечо, равна 3 Н. Чему должна быть равна сила, действующая на длинное плечо, чтобы рычаг был в равновесии?","['1 Н', '6 Н', '9 Н', '12 Н']",2002,A
[],4,"Предлагается два объяснения того экспериментального факта, что ускорение свободного падения  не зависит от массы тел. А. В соответствии с третьим законом Ньютона два тела притягиваются друг к другу с одинаковой силой, поэтому они и падают на Землю с одинаковым ускорением. Б. В соответствии с законом всемирного тяготения сила тяжести пропорциональна массе, а в соответствии со вторым законом Ньютона ускорение обратно пропорционально массе. Поэтому любые тела при свободном падении движутся с одинаковым ускорением. Какое из них является верным?","['только А', 'только Б', 'и А, и Б', 'ни А, ни Б']",2002,A
[],5,"Тележка массой m, движущаяся со скоростью v, сталкивается с неподвижной тележкой той же массы и сцепляется с ней. Импульс тележек после взаимодействия равен","['0', 'mv/2', 'mv', '2mv']",2002,A
[],6,"Теплоход переходит из устья Волги в соленое Каспийское море. При этом архимедова сила, действующая на теплоход,","['уменьшается', 'не изменяется', 'увеличивается', 'уменьшается или увеличивается в зависимости от размера теплохода']",2002,A
"[""R0lGODlhtQGdAHcAMSH+GlNvZnR3YXJlOiBNaWNyb3NvZnQgT2ZmaWNlACH5BAEAAAAALAAAAgC1AZsAhAAAAAAAAAgHBwwKCwsKCgMDAwoICQYFBQUEBAkHCAcGBwsJCgcGBgkICE1NTb29vaenp7KystDQ0MfHx/Dw8OHh4f///wECAwECAwECAwECAwECAwECAwECAwECAwECAwX/IAAEYmmeaKqubOu+cCzPdG3f5K3vfO//wFRgGCwaj8ik0jTMLZ/QqLTVdE6v2Kx2Vd16v2Bq1Roum8+xMRnNbh/X7p86IBj0CIX4Fq7v+2l8fzcDRAAGAXk8AgEGglKBjmJjdThzkJFCmD6FI5cwBwEImktWFqanqKmqq6xahDmHiTYEnAmeoyK3uCycnDcGBgqMu28mrMfIx3tOvjWchMRU0TaFhyRdXQDCBQkqBwMLAQzTQaXJ5+fLJc2AutPu5OtVlLQ59SLCCwmyJgQKIqAWxNskL8CDABAooFt4Sp0hItia4EPUDQW7gSfgDbxYSFiOApAENHooACMPK0Mq/0gI4IAhw2VN6BW6py2APn4FhxxoYJJJzxccbSIIl+NiCZBj7Px0xiSAqSEuFzrMmMOjCJC8cgxoEKBiT43xgv7rdPXACgNeAdgquRRQ06dOo6bTEnTB0EJGc6EEK4hvtFdKmxIAQFNAgQULxh4wu+CwiVcj26Z5awGq3GRTm44tVMAsl71LrTBoMq5TXkxqmkKUCGA0g8EAFhMNwBPAbNqSJ8ubsLLlZWSuhgSWN7jw4cQAPdeDfYjt1xMNCohaFzm39Sx7IyBU+FsZltQ5TedwDXux+CYIav9cc6iiyOvwsVPujjn+xhQIAhBAa79/lL30zeVfNHAcgkBpAyZYjP9elgXYioK78DFadRBWeJIxDtZnIWreILLhhzqYk6F3IPaVQgJoBTBWiSwCheGID7bYB3ts5SeQjDhmUgKMJObYBhkNTGdbKDf66KOIPKZi5A6nhaiaTeKpt2SLSCbZ0JTtJOEXlh9WaaUFXMqwpW5hljnCi1+aYqYYJizWpFtrhumllXGqwMebM4xZZ39zJrlnU5+V8+eUffI4aJN4ijnokoXC+OctiZK5KI6NjlhnopHCoOekuVWaYZzwZOoip5SimaaZoorqwqakhmbql3KCBRgQrLb63I5pXkmoM2PIYSuVr9LJaK2+/lqipw4yygaxxpKDbIBHMktrsyA+Sx//pdIKSu2G1nYnY7ZFgLutJt3+xqKq341robhGoiufuhCym6O8RtAL74z3khWJvfm6wW+Xo/zbLxoCx1uwtgPbd7B/7paxcMJfPByfxAhDfB3FnWI8rcXwaexqWBx33GrDP4Z8Mack+2uydR6DvN7KnR7aMhKXgAeGzTdns+6jMX+GM11FseZFRCk7e+nMStwpNINA+7L0d808zTBQSFMFNZvv2Kk00Fo3LUTRxEBiSRhzPJLVzxxaFIjUT7At3hVum6bg2tcwqPHScdMqdi9540vV3gf3DbaYiFYNt9Zr9K3l0zqHW3PiivdglzgbA4r1f54Mnsabmqf9N+LY0Q1u/+aiK3EbghdafjkUkHa+ausJQg443LPr/frqRihQkjXFyqOpwJgCr0vkt6oe6COFE9v64/8G4FkPoP3OujuuZ7X5gGTgWT3uXZ80POxtU+ik79eTEmrz1Bv+n9VUYw5+JYRTba8BqKcud/lJn29vpsRjlD3+5gNgnvKUviU8jyB6ISC9VLU99gnwZOSTXtsKmCUCPjAIr8EHAvUVv8VVkGZgaaAemME/fpVQI34pIRIW0QTxUSOCF5QDX0SYwA+KrIYxLAcKKWjD9hmBhU0YzvjQ1b8eShCEvOITDI9IMyN+LUQhVB8vcGjBN8yQhkSUYtLWkUQPOtEnUOziH4JGDf92uQuLZeQTRMRIkNVc8XiKciMbvdfAosDPimnE4wsVRsUO2q8gc+RiFY2XQzhpKRd3dNz46rUlGi7Lbl/0I6AYqDZDZoSDv9tU8zAZyTDiAIl5FFkvBrnHJ4aSkt07kySZwjpOklKGntRhI7XYxFGu0naI7GAK4bhDJq2PZNvTUzDHVEQCYfJ8i9SRIDO5SziqkomWJMUzPxkuJo1OmLSsFyeRqc1ERrOSYNQUNX/5x96NE5fejBkwm5nKZUrjjNK4ZCHNUDdr6rCcm8DmxDgyz1CGs3tEXJUyb/dN82lSWkVzXTHBiQUpTU+TjByoRQgpTutNFJr+SihCD3pPaz7/bAA4meCd+ilPi0JzmPYEg0PVxtHKxTKf0HsYKGjXUpdyz5UCvek0zzbAIIBUpwVNZiWYBTZHpgAUC4Xi1nwISzv983OK4mlKKxqEmZrUlzZNJ1a9d7UpnOZ7HdVR4cL60pwCAal5GRxRa9U5tj7MqAyVqM8k1c64OtOsdy0pXkMH1J7CNKZZ9SfmaPfXwto1r1PsK/Ui9jjDTvWx+BTs9AibWII6NoGLpWplI+vUiF61rKCVrFbPibkF1C9/lx3tDCvW2b1uFp2tpadaYasJA0gHNk+l7WjlateoaRZ6ro1t6EzLhabSMbWBFGpoFdgDrqhHre9zJjFZy1tTasG2/wiATeKMC9nldvK7JJXEmAgAikUcgCaA/WvK1srd4j70SZaIr3znS9/62ve++M2vfvfLX/xWohG8Ux6k5McqzWmPqa+tK69sGdMCs5er7d0t4fSJ2f5a+MIYzrCGN8zhsu20u8mV8C29+0pWTnWNwT1sGQdsWfemWLQLPq47IQxiEYcXozCmLFmG9zp9HrjHGwyycBVs4hnXuMQkvrH8ZMxY3/G4xdXNJU5t/GRzJpm0R45qhENsYwQPjYQfHrJ1xXzMB2dZry4+M5a32uWgTpisOaYdgFGMXCPvlHjRvSiUEzzmNpvYuTaYnH58uQAB5KcGgLazN5BqAqKs6AVusv9CPRoX5ymQlw7OG4yZMZpUxIIXyYpWMXAvbV7cwuA22BSHAYToAlJnuo+Xe8UQnMNEIHYakGZIdJjJjGa9GoV/e84tkUkMVm0OYc4aYQBPeAdFF1IN2bA2qQBsTUoh3a/SN6Mur2897DfTtc9pnNx52whmbLMgHLQeJF64SRjThPRy1mDASNbpty2r8qvZSiuOPcrrv93G2k7iWw0GwEIdCGM0K312DfvntGuk27Jodd6U901PLXtayhdP89cobPFhf08cPAnHu5ki8HYMwdQWPMS4ZXDpRngo2u0cQjhQDuX95Mcqft5Dx8ENcwd+W9RKxjiRg2eCQzjbLSWngW3/G1YNdHFlNM6JVMMFkJZ9o1W5j9y5z3sO9NDyULe7tu4Q0kPuJcqA2WJsmC2KJPW9HDCG0JilH1CIu3p6+bcq/rhne63xpZ+W5MNAO5clAe0atIei0g2AUh4dbBGM44zZDLXG9czANyY4fZZXcKhQIPhPunrlMZDNQ7JY3lfPgH64Uc0LZmW3YcCA9QcoQAPs0ACBQH7ubsas0Pv6WHYrUrShAK4IdC2DfSBCAOiNH/HTcIAEsHriOXFjEJlJhCANQQHaZecIi8xSyXf9xcccsWG5KfpDFAnrNBZ/nT8LZ4qfQfuq3z3vY9lLPYZ94yIwfgGwL+T1Zzz9mYRaoEYw/9PCGnQHQnb3c4F1d9rGZAHoRZuzQFE0RouUdOrnV1vnfsA1gYe0dxqYXkFXSgqYdUOVgQwYYybYeNzHdf/HWQAoCQYVgRN0ge+HVR42gENFaR+oQNeQRVtkfyrYfnMVQA+IezmWKo5UeRK4QwsESif4e08IhfNXcSuYgi0Igjv4glPIZrIUhVJ4hfb2fTWIg0xThBC4ZDEYgrmnhWIIdm0oQ6QTeXwHhtAHVUSIhvnzdU3khHQYhizogd1WMni3hXXoht03WVnIhY5TOl6VVnBlh/jnCHmGh1IlUl7YhUAmTQLIUm/FiI2oNHKoZ5NHUo9odjx3hn2IfnojOxKjg//cxm+QaCKpKIalWIbst4lDqIl5KH1f1iu1iDi8SC6BKIOgQ1O5iDx7sz4PpYOh0ys5gzayOIdH+Ium+IdW9GuluDDUeIlQE4qvpVBS84pKlT3i6HW16I0wc07iojPMiIwktI1PEh5mk44fk4TQ2Izt2I3OOI/0+BXnqEXwGIQ/2I8mgY4WY5AEOYIJ+S4L6TINmW0PaTQRGTETmTUVqXMXGSEZSRcbiQsImTAf2ZHyJ5IDSZLRaJIscAjCh5IUyJIrgAcF5pItKZMnMACM5oI06TA5eQKvUVQ7GQchaSQKYHsx+ZOCuJPvUYijYpQE02FO+ZRQGZX6dR4JxZQkmJM8N7hmVjk0W6mU4NeVh7OVPgmWZEOWK2mWGImWWqmWysiWVeiWrQSXayiXC0KXCmmX3YSXS6mXusiXKhACADs=""]",7,На рис. А представлен график зависимости координаты тела от времени при гармонических колебаниях. Какой из графиков на рис. Б выражает зависимость импульса колеблющегося тела от времени?,"['1', '2', '3', '4']",2002,A
[],8,"Какой из перечисленных ниже опытов (А, Б или В) подтверждает вывод молекулярно-кинетической теории о том, что скорость молекул растет при увеличении температуры? А. Интенсивность броуновского движения растет с повышением температуры. Б.  Давление газа в сосуде растет с повышением температуры. В.  Скорость диффузии красителя в воде повышается с ростом температуры.","['только А', 'только Б', 'только В', 'А, Б и В']",2002,A
"[""R0lGODlhlgCfAHcAMSH+GlNvZnR3YXJlOiBNaWNyb3NvZnQgT2ZmaWNlACH5BAEAAAAALA0AAgCFAJQAhAAAAAAAAAwKCwcGBgoICQkHCAcGBwkICAUEBAsKCgsJCgYFBQgHBwMDA3x8fIyMjLKysqenp9DQ0Onp6f///wECAwECAwECAwECAwECAwECAwECAwECAwECAwECAwECAwX/ICCOZAkEaJqabOu+cCzP9BzUeK7vPH/3wKBw+EIRj8gkbqVsOp3Mp3QKXKmuRqp2K1KJBFHB4MctP6/d7JdsbiPRpyzbTX+TVoR5fR9kY/mAQn5GeYGGPndyh4tLiXoFJ4ySLIN6BpFbBwiTOWRgKAkjCgsDcXpICQxRnDZpWCmQak4LC6usMactAQUEVLa3RTQBB8NTv8C6ksfIJrl7y8x3yrLRlBTX2Nna29zd3hTUrtVF3+Xm5+Gm4y4B5+7v2eEKKQpVAAwNAQi9Zu3w/+aovfLxih8XfwATcksnKIWAeyga9FNIURvDKilCiSuDsCLFiwQFBrjE0aNHkDts/yUI0OBhSZMfnaUMp8rgQZgKoenwQiKPzZs4AepcYotAA41tOgZ1N1RY0QVIBZDconRpQJRO5xDD8tOYVXhNZfx6JbNJ1a/ewsLgyegs2oVY16pN+hZdXHZz6dYtdxdvWT5u92LrS4mwm8CCwf31u/hZ4rSNm+Wlg3jvZFeRHT/edpktsMp1OxvWvDme4cukSyvObIo1YNWDCXtmBhrt3Nm0YV+7PTpQ7a9qUfvWvVqscEC/rTbFXS350qHMm+te3nuRc5zQq1ufDjJ6EqkoGCS5btK7d1T5UpQ6Qv7kxfNIBhwAkEe7LtjL4EMpxl519OM9CIBPPW/4xxCAPaSAAP+BRLQX0yn6NQEeCl0laKAeET6hCkv9bTYWgkJ8IlGDpX3oGhELiJcGJCR6iKF9QeQjXh4LFPiYLRk2oQACKCwwn42JiQTjZy46cuI4Dv6zCogNkTVQJzeqwSRRTlaZ4x1BSjmlLlZ26eROWf5wJS5eOvkPmJZZAWCZdaEZmhFXslmam7apWZaXxGVDJ3Bl9unnn4D+Qc5bgRZq6KGCsvMmoow2WuZahP5hZp4J7RlUn5RSZClMeGZa0ablveJpRQ8gBGpFZI1KEQQoYHNqTlioSpEEKbgK5aWxyprQBKW2es2rSl6hK0UOrGbrEtgJO2xCDkxg7K+3uqfCsglFIMH/br5SAKxd01IrlKjaRgurst6CBe62sLVlX5LxBKXukV2Ut9S7FqJq1TpiLYsvLvruO2hC7Hrj779KvjWwokK1ebA1wy7MsK4ON1PwXhGX4FzA51SMJVOPaTwCxvd6fEK/HtcGsjsij8yXailXdvI7LZOs8cs4xdwNzTCL7BbOOZdMScqUAX0IvEKPZ3HRh0mDdFIfL52003UQDXUfmEzNkdQlD6m01XLBkZWjYFtHFkZYhwT22VpzTWbaahvX9ttwv1BAAw2wGHcT+AggAAJT3X3EPPz45DdmT86gCoEr9R13APwwUQgNPN4xot9kRJGZLGxXLBzmZWd9ZD53bDK4LiM7GBCARvMoPrhwgIuQB4Ojq1M6AnrzHTvpPBTA0o+3b9T7EJ8E4NLvZI8JQAgAOw==""]",9,Какой график  (см. рис.)  верно изображает зависимость средней кинетической энергии  частиц идеального газа от абсолютной температуры?,"['1', '2', '3', '4']",2002,A
[],10,"Внутренняя энергия гири увеличивается, если","['гирю поднять на 2 м', 'гирю нагреть на 2оС', 'увеличить скорость гири на 2 м/с', 'подвесить гирю на пружине, которая растянется на 2 см']",2002,A
